sku,title,price,category,currency,platform,stock,alert_threshold,description
SYN-TL-070,三件套钳子 海军蓝款,128.90,工具五金,USD,aliexpress,5,10,家用维修 一套搞定
SYN-HM-071,便携咖啡机 珍珠白款,16.90,家居厨房,CNY,tiktok,4,10,食品级材质 安心使用
SYN-CE-072,主动降噪耳机 深空黑款,69.50,消费电子,EUR,amazon,181,10,低延迟 长续航
SYN-OS-073,防滑溯溪鞋 奶油白款,109.99,户外运动,USD,amazon,8,10,耐磨抗撕裂 经久耐用
SYN-PT-074,宠物凉席,14.99,宠物用品,USD,shopee,8,10,易拆洗 好打理
SYN-BT-075,男士电动剃须刀,31.99,美妆个护,EUR,tiktok,88,5,小巧便携 旅行装
SYN-AP-076,防晒冰袖 原木色款,29.90,服饰配件,GBP,amazon,115,10,百搭基础款 四季可用
SYN-KB-077,木质拼图套装 深空黑款,9.99,母婴玩具,EUR,ebay,3,5,圆角设计 防磕碰
SYN-CA-078,车载冷暖箱,27.99,汽车配件,CNY,temu,180,10,车规级用料 耐高低温
SYN-OF-079,便携标签打印机 海军蓝款,52.90,办公文具,USD,temu,4,10,静音设计 不扰同事
SYN-TL-080,螺丝分类收纳盒 深空黑款,89.50,工具五金,EUR,amazon,167,10,收纳有序 随取随用
SYN-HM-081,桌面收纳架 深空黑款,10.50,家居厨房,USD,amazon,2,10,一键萃取 易清洗
SYN-CE-082,网络摄像头 珍珠白款 2,207.50,消费电子,USD,amazon,2,20,快充协议全兼容
SYN-OS-083,防滑溯溪鞋 焦糖棕款,142.50,户外运动,EUR,tiktok,7,10,耐磨抗撕裂 经久耐用
SYN-PT-084,磨牙洁齿玩具,22.50,宠物用品,CNY,temu,6,10,易拆洗 好打理
SYN-BT-085,声波电动牙刷 薄荷绿款,10.90,美妆个护,USD,amazon,12,10,多档调节 随心切换
SYN-AP-086,创意钥匙扣,67.90,服饰配件,USD,amazon,86,5,百搭基础款 四季可用
SYN-KB-087,木质拼图套装 焦糖棕款,42.90,母婴玩具,EUR,temu,69,10,适龄设计 助力成长
SYN-CA-088,应急启动电源,87.50,汽车配件,EUR,shopee,36,5,无损安装 即装即用
SYN-OF-089,曲别针收纳器 珍珠白款,41.50,办公文具,USD,ebay,5,10,桌面清爽 效率翻倍
SYN-TL-090,强光手电筒 深空黑款 2,95.99,工具五金,CNY,tiktok,137,10,防滑手柄 安全省力
SYN-HM-091,便携咖啡机,19.90,家居厨房,EUR,temu,35,10,食品级材质 安心使用
SYN-CE-092,磁吸充电宝 雾灰款,244.90,消费电子,USD,tiktok,94,10,轻巧便携 随行随用
SYN-OS-093,速干毛巾 海军蓝款,17.90,户外运动,CNY,shopee,3,10,耐磨抗撕裂 经久耐用
SYN-PT-094,宠物雨衣 深空黑款,57.99,宠物用品,CNY,shopee,106,10,静音运行 不扰眠
SYN-BT-095,旅行分装瓶组 薄荷绿款,21.90,美妆个护,USD,temu,110,10,温和不刺激 敏感肌友好
SYN-AP-096,帆布托特包 海军蓝款,38.99,服饰配件,USD,temu,3,10,防泼水 小雨无忧
SYN-KB-097,婴儿安抚巾 雾灰款,64.90,母婴玩具,USD,shopee,126,10,圆角设计 防磕碰
SYN-CA-098,无骨雨刮器 原木色款,11.90,汽车配件,EUR,amazon,2,10,车规级用料 耐高低温
SYN-OF-099,手账印章套装 海军蓝款,24.90,办公文具,EUR,aliexpress,8,10,大容量 够用一学期
SYN-TL-100,三件套钳子,21.90,工具五金,EUR,temu,20,10,防滑手柄 安全省力
SYN-HM-101,竹木砧板 珍珠白款,23.90,家居厨房,USD,amazon,106,10,食品级材质 安心使用
SYN-CE-102,智能插座 奶油白款,247.90,消费电子,USD,aliexpress,6,10,低延迟 长续航
SYN-OS-103,高倍望远镜,108.99,户外运动,EUR,aliexpress,56,10,防风防泼水 全天候
SYN-PT-104,宠物饮水机,10.99,宠物用品,USD,aliexpress,129,10,贴合身形 佩戴舒适
SYN-BT-105,LED 化妆镜 深空黑款,12.90,美妆个护,USD,temu,7,10,多档调节 随心切换
SYN-AP-106,帆布托特包,26.90,服饰配件,GBP,shopee,181,10,防泼水 小雨无忧
SYN-KB-107,木质拼图套装 奶油白款,41.50,母婴玩具,GBP,tiktok,110,10,适龄设计 助力成长
SYN-CA-108,重力车载支架 焦糖棕款,66.50,汽车配件,USD,tiktok,168,10,专车专用 贴合原车
SYN-OF-109,磁吸便签盒 海军蓝款,55.90,办公文具,USD,amazon,52,10,桌面清爽 效率翻倍
SYN-TL-110,三件套钳子 深空黑款 2,133.50,工具五金,USD,amazon,2,10,防滑手柄 安全省力
SYN-HM-111,真空保温杯 原木色款,43.90,家居厨房,EUR,temu,58,5,小户型友好 省空间
SYN-CE-112,HDMI 分线器 薄荷绿款,203.99,消费电子,USD,tiktok,8,10,快充协议全兼容
SYN-OS-113,防滑溯溪鞋 珍珠白款 2,63.50,户外运动,EUR,tiktok,4,20,轻量化设计 背负重
SYN-PT-114,宠物外出背包 焦糖棕款,24.99,宠物用品,USD,shopee,84,10,静音运行 不扰眠
SYN-BT-115,面膜加热仪,17.99,美妆个护,CNY,amazon,21,10,深层清洁 焕亮肌肤
SYN-AP-116,帆布托特包 焦糖棕款,26.50,服饰配件,USD,aliexpress,198,10,轻盈不压身
SYN-KB-117,婴儿指甲护理套装 深空黑款 2,33.90,母婴玩具,USD,ebay,10,20,适龄设计 助力成长
SYN-CA-118,无骨雨刮器 海军蓝款,90.50,汽车配件,USD,aliexpress,1,5,无损安装 即装即用
SYN-OF-119,无钉订书机,35.90,办公文具,GBP,amazon,4,10,静音设计 不扰同事
SYN-TL-120,重型美工刀 奶油白款,96.99,工具五金,USD,aliexpress,3,10,防滑手柄 安全省力
SYN-HM-121,可折叠沥水架 雾灰款,28.99,家居厨房,USD,aliexpress,0,10,耐用耐高温 日常必备
SYN-CE-122,桌面手机支架 雾灰款,176.50,消费电子,USD,ebay,266,20,轻巧便携 随行随用
SYN-OS-123,折叠露营椅 原木色款,35.99,户外运动,USD,shopee,0,20,一秒收纳 说走就走
SYN-PT-124,宠物雨衣,19.90,宠物用品,USD,amazon,2,10,静音运行 不扰眠
SYN-BT-125,化妆刷套装,43.99,美妆个护,USD,tiktok,0,10,多档调节 随心切换
SYN-AP-126,防泼水双肩包 雾灰款,33.90,服饰配件,USD,tiktok,8,10,防泼水 小雨无忧
SYN-KB-127,大颗粒儿童积木 焦糖棕款,68.50,母婴玩具,USD,shopee,1,10,可拆洗 常保洁净
SYN-CA-128,应急启动电源 薄荷绿款,108.90,汽车配件,GBP,tiktok,195,10,车规级用料 耐高低温
SYN-OF-129,人体工学腕托 深空黑款,28.90,办公文具,USD,temu,1,10,顺滑书写 不断墨
SYN-TL-130,棘轮扳手,10.90,工具五金,USD,shopee,151,10,家用维修 一套搞定
SYN-HM-131,真空保鲜盒 海军蓝款,29.50,家居厨房,EUR,aliexpress,6,10,一键萃取 易清洗
SYN-CE-132,磁吸充电宝,187.99,消费电子,USD,amazon,6,10,低延迟 长续航
SYN-OS-133,感应头灯 雾灰款,86.50,户外运动,USD,ebay,1,10,防风防泼水 全天候
SYN-PT-134,宠物凉席 薄荷绿款,33.50,宠物用品,GBP,aliexpress,8,10,易拆洗 好打理
SYN-BT-135,化妆刷套装 薄荷绿款,17.99,美妆个护,EUR,aliexpress,2,10,深层清洁 焕亮肌肤
SYN-AP-136,触屏保暖手套,58.99,服饰配件,USD,tiktok,6,10,亲肤透气 不闷汗
SYN-KB-137,手抓摇铃玩具,70.50,母婴玩具,USD,amazon,176,20,可拆洗 常保洁净
SYN-CA-138,车载冷暖箱 原木色款 2,125.99,汽车配件,CNY,temu,188,10,车规级用料 耐高低温
SYN-OF-139,护眼台灯 珍珠白款,5.99,办公文具,EUR,temu,6,10,桌面清爽 效率翻倍
SYN-TL-140,迷你水平仪 深空黑款,61.50,工具五金,USD,ebay,170,10,家用维修 一套搞定
SYN-HM-141,玻璃调味瓶组 奶油白款,67.99,家居厨房,GBP,temu,101,10,食品级材质 安心使用
SYN-CE-142,主动降噪耳机 珍珠白款,115.90,消费电子,USD,temu,2,10,即插即用 免驱动
SYN-OS-143,露营灯串 薄荷绿款,158.90,户外运动,USD,temu,34,10,一秒收纳 说走就走
SYN-PT-144,宠物雨衣 海军蓝款 2,13.90,宠物用品,USD,temu,195,10,易拆洗 好打理
SYN-BT-145,旅行分装瓶组 奶油白款,37.50,美妆个护,EUR,tiktok,0,10,多档调节 随心切换
SYN-AP-146,帆布托特包 原木色款,20.99,服饰配件,USD,shopee,185,10,轻盈不压身
SYN-KB-147,绘本收纳架 雾灰款 2,17.90,母婴玩具,USD,aliexpress,7,10,适龄设计 助力成长
SYN-CA-148,数显胎压计 海军蓝款,127.99,汽车配件,GBP,ebay,162,10,大功率 稳定输出
SYN-OF-149,白板贴纸,17.90,办公文具,USD,shopee,16,20,桌面清爽 效率翻倍
SYN-TL-150,家用工具套装 焦糖棕款,31.50,工具五金,GBP,tiktok,166,10,防滑手柄 安全省力
SYN-HM-151,隔热硅胶手套,22.99,家居厨房,USD,temu,85,10,耐用耐高温 日常必备
SYN-CE-152,无线蓝牙耳机,253.99,消费电子,EUR,shopee,83,5,快充协议全兼容
SYN-OS-153,折叠水桶 深空黑款,44.99,户外运动,EUR,aliexpress,7,10,防风防泼水 全天候
SYN-PT-154,自动喂食器 深空黑款,47.90,宠物用品,USD,amazon,2,10,贴合身形 佩戴舒适
SYN-BT-155,面膜加热仪 深空黑款,16.50,美妆个护,EUR,temu,4,10,小巧便携 旅行装
SYN-AP-156,头层牛皮皮带 珍珠白款,38.90,服饰配件,USD,shopee,6,20,亲肤透气 不闷汗
SYN-KB-157,硅胶围兜 雾灰款 2,68.50,母婴玩具,USD,temu,80,10,适龄设计 助力成长
SYN-CA-158,洗车工具套装,81.99,汽车配件,USD,aliexpress,30,10,车规级用料 耐高低温
SYN-OF-159,曲别针收纳器 奶油白款,32.90,办公文具,CNY,aliexpress,173,10,大容量 够用一学期
SYN-TL-160,三件套钳子 奶油白款 2,102.90,工具五金,USD,tiktok,2,10,家用维修 一套搞定
SYN-HM-161,香薰蜡烛礼盒,14.99,家居厨房,USD,aliexpress,67,10,耐用耐高温 日常必备
SYN-CE-162,无线静音鼠标,293.99,消费电子,EUR,aliexpress,1,5,快充协议全兼容
SYN-OS-163,碳纤维登山杖,41.50,户外运动,USD,ebay,4,10,轻量化设计 背负重
SYN-PT-164,慢食防噎碗 深空黑款 2,48.90,宠物用品,USD,aliexpress,195,10,贴合身形 佩戴舒适
SYN-BT-165,硅胶洁面仪 奶油白款,25.99,美妆个护,EUR,temu,186,10,深层清洁 焕亮肌肤
SYN-AP-166,真皮卡包 珍珠白款,33.90,服饰配件,GBP,temu,2,5,亲肤透气 不闷汗
SYN-KB-167,手抓摇铃玩具 海军蓝款,54.99,母婴玩具,EUR,amazon,2,5,可拆洗 常保洁净
SYN-CA-168,前挡遮阳挡,105.99,汽车配件,USD,tiktok,121,10,无损安装 即装即用
SYN-OF-169,电动橡皮擦,28.50,办公文具,USD,tiktok,99,10,桌面清爽 效率翻倍
SYN-TL-170,家用工具套装,79.99,工具五金,USD,ebay,9,10,高硬度钢 耐磨损
SYN-HM-171,竹木砧板 焦糖棕款,11.99,家居厨房,USD,temu,139,10,食品级材质 安心使用
SYN-CE-172,磁吸充电宝 原木色款 2,61.90,消费电子,USD,shopee,1,10,即插即用 免驱动
SYN-OS-173,运动腰包 原木色款,23.99,户外运动,EUR,ebay,144,10,轻量化设计 背负重
SYN-PT-174,慢食防噎碗 雾灰款 2,57.99,宠物用品,EUR,aliexpress,6,10,贴合身形 佩戴舒适
SYN-BT-175,恒温足浴盆,15.50,美妆个护,USD,amazon,52,10,深层清洁 焕亮肌肤
SYN-AP-176,防晒冰袖 海军蓝款,68.99,服饰配件,GBP,tiktok,4,10,百搭基础款 四季可用
SYN-KB-177,重力球学饮杯 深空黑款,8.99,母婴玩具,USD,temu,3,10,可拆洗 常保洁净
SYN-CA-178,真皮方向盘套,62.99,汽车配件,EUR,aliexpress,2,10,专车专用 贴合原车
SYN-OF-179,磁吸便签盒 薄荷绿款,18.50,办公文具,CNY,tiktok,8,10,静音设计 不扰同事
SYN-TL-180,家用工具套装 深空黑款,84.90,工具五金,USD,aliexpress,92,10,收纳有序 随取随用
SYN-HM-181,可折叠沥水架 深空黑款,46.50,家居厨房,GBP,tiktok,45,10,一键萃取 易清洗
SYN-CE-182,机械键盘 海军蓝款,60.90,消费电子,GBP,shopee,110,10,即插即用 免驱动
SYN-OS-183,高倍望远镜 海军蓝款 2,144.90,户外运动,USD,tiktok,109,10,防风防泼水 全天候
SYN-PT-184,除臭猫砂盆 深空黑款,21.99,宠物用品,CNY,amazon,88,10,静音运行 不扰眠
SYN-BT-185,男士电动剃须刀 原木色款,23.99,美妆个护,EUR,amazon,49,5,温和不刺激 敏感肌友好
SYN-AP-186,创意钥匙扣 焦糖棕款 2,41.99,服饰配件,USD,amazon,0,5,亲肤透气 不闷汗
SYN-KB-187,硅胶围兜 海军蓝款,72.90,母婴玩具,USD,tiktok,5,10,适龄设计 助力成长
SYN-CA-188,应急启动电源 奶油白款,17.50,汽车配件,USD,ebay,1,10,车规级用料 耐高低温
SYN-OF-189,曲别针收纳器 焦糖棕款 2,47.99,办公文具,CNY,shopee,176,10,桌面清爽 效率翻倍
SYN-TL-190,热熔胶枪,100.50,工具五金,EUR,aliexpress,193,10,高硬度钢 耐磨损
SYN-HM-191,折叠收纳箱 雾灰款 2,74.90,家居厨房,USD,tiktok,381,20,小户型友好 省空间
SYN-CE-192,磁吸充电宝 焦糖棕款,55.90,消费电子,USD,aliexpress,76,10,低延迟 长续航
SYN-OS-193,骑行手套,159.90,户外运动,USD,temu,363,20,轻量化设计 背负重
SYN-PT-194,自动喂食器 奶油白款,18.90,宠物用品,GBP,aliexpress,66,10,环保材质 啃咬无忧
SYN-BT-195,恒温足浴盆 薄荷绿款 2,37.90,美妆个护,USD,temu,7,10,多档调节 随心切换
SYN-AP-196,渔夫帽,44.90,服饰配件,USD,temu,83,5,百搭基础款 四季可用
SYN-KB-197,软底学步鞋 海军蓝款 2,11.90,母婴玩具,GBP,aliexpress,143,10,圆角设计 防磕碰
SYN-CA-198,数显胎压计,118.99,汽车配件,USD,aliexpress,2,20,大功率 稳定输出
SYN-OF-199,手账印章套装 奶油白款,22.50,办公文具,EUR,ebay,1,10,桌面清爽 效率翻倍
SYN-TL-200,电烙铁套装,130.99,工具五金,CNY,shopee,2,10,高硬度钢 耐磨损
SYN-HM-201,手冲咖啡壶套装 薄荷绿款 2,25.99,家居厨房,GBP,shopee,194,10,耐用耐高温 日常必备
SYN-CE-202,无线静音鼠标 珍珠白款 2,59.99,消费电子,USD,temu,0,10,快充协议全兼容
SYN-OS-203,户外保温壶,27.90,户外运动,GBP,amazon,7,10,防风防泼水 全天候
SYN-PT-204,宠物饮水机 原木色款 2,45.99,宠物用品,USD,amazon,187,10,贴合身形 佩戴舒适
SYN-BT-205,面膜加热仪 奶油白款 2,9.99,美妆个护,USD,aliexpress,4,10,多档调节 随心切换
SYN-AP-206,创意钥匙扣 原木色款,27.50,服饰配件,USD,amazon,5,10,防泼水 小雨无忧
SYN-KB-207,婴儿背带 奶油白款 2,56.99,母婴玩具,USD,temu,126,10,圆角设计 防磕碰
SYN-CA-208,重力车载支架 原木色款,13.90,汽车配件,USD,temu,161,10,专车专用 贴合原车
SYN-OF-209,桌面收纳盒 海军蓝款,8.99,办公文具,USD,ebay,1,10,大容量 够用一学期
SYN-TL-210,锂电电动螺丝刀 雾灰款,43.90,工具五金,CNY,amazon,7,10,防滑手柄 安全省力
SYN-HM-211,香薰蜡烛礼盒 原木色款 2,22.99,家居厨房,GBP,temu,185,10,小户型友好 省空间
SYN-CE-212,网络摄像头 奶油白款,109.99,消费电子,GBP,tiktok,172,10,低延迟 长续航
SYN-OS-213,防潮野餐垫,73.90,户外运动,GBP,temu,0,10,轻量化设计 背负重
SYN-PT-214,宠物外出背包 海军蓝款,13.99,宠物用品,EUR,tiktok,59,10,环保材质 啃咬无忧
SYN-BT-215,家用美容仪,49.99,美妆个护,GBP,temu,36,5,小巧便携 旅行装
SYN-AP-216,帆布托特包 珍珠白款 2,58.90,服饰配件,GBP,ebay,150,10,亲肤透气 不闷汗
SYN-KB-217,软底学步鞋 雾灰款,73.99,母婴玩具,USD,amazon,122,10,可拆洗 常保洁净
SYN-CA-218,前挡遮阳挡 深空黑款,79.99,汽车配件,USD,ebay,55,10,车规级用料 耐高低温
SYN-OF-219,无钉订书机 珍珠白款,26.50,办公文具,GBP,amazon,156,10,静音设计 不扰同事
SYN-TL-220,重型美工刀 雾灰款,86.50,工具五金,CNY,tiktok,124,10,家用维修 一套搞定
SYN-HM-221,手冲咖啡壶套装 深空黑款,44.99,家居厨房,CNY,tiktok,199,10,食品级材质 安心使用
SYN-CE-222,无线静音鼠标 焦糖棕款 2,107.99,消费电子,EUR,amazon,184,10,低延迟 长续航
SYN-OS-223,便携气炉 原木色款,67.99,户外运动,USD,amazon,79,10,轻量化设计 背负重
SYN-PT-224,自动喂食器 薄荷绿款,39.90,宠物用品,EUR,aliexpress,0,10,易拆洗 好打理
SYN-BT-225,面膜加热仪 珍珠白款,48.99,美妆个护,USD,aliexpress,61,10,多档调节 随心切换
SYN-AP-226,偏光太阳镜 珍珠白款,35.50,服饰配件,USD,aliexpress,8,10,亲肤透气 不闷汗
SYN-KB-227,婴儿指甲护理套装 珍珠白款 2,85.50,母婴玩具,USD,shopee,195,10,母婴级材质 啃咬安全
SYN-CA-228,无骨雨刮器 焦糖棕款,18.99,汽车配件,USD,temu,143,10,大功率 稳定输出
SYN-OF-229,便携标签打印机,16.90,办公文具,EUR,ebay,23,10,顺滑书写 不断墨
SYN-TL-230,强光手电筒 奶油白款 2,98.99,工具五金,USD,ebay,0,10,防滑手柄 安全省力
SYN-HM-231,陶瓷磨刀器 原木色款,37.99,家居厨房,EUR,shopee,8,10,耐用耐高温 日常必备
SYN-CE-232,主动降噪耳机,266.99,消费电子,GBP,amazon,109,10,即插即用 免驱动
SYN-OS-233,高倍望远镜 海军蓝款,51.99,户外运动,USD,amazon,0,10,耐磨抗撕裂 经久耐用
SYN-PT-234,宠物雨衣 原木色款,30.50,宠物用品,USD,aliexpress,17,5,易拆洗 好打理
SYN-BT-235,旅行分装瓶组 焦糖棕款,18.90,美妆个护,USD,temu,141,10,深层清洁 焕亮肌肤
SYN-AP-236,运动腰包 雾灰款 2,21.90,服饰配件,GBP,tiktok,187,10,百搭基础款 四季可用
SYN-KB-237,可折叠婴儿浴盆 奶油白款,88.99,母婴玩具,USD,temu,2,10,母婴级材质 啃咬安全
SYN-CA-238,车充扩展坞,94.50,汽车配件,USD,aliexpress,132,10,无损安装 即装即用
SYN-OF-239,曲别针收纳器 薄荷绿款 2,58.90,办公文具,USD,shopee,127,10,静音设计 不扰同事
SYN-TL-240,自锁卷尺 雾灰款,139.99,工具五金,USD,aliexpress,8,10,高硬度钢 耐磨损
SYN-HM-241,陶瓷磨刀器 焦糖棕款,37.90,家居厨房,USD,shopee,4,10,一键萃取 易清洗
SYN-CE-242,车载充电器 珍珠白款,36.99,消费电子,USD,shopee,39,10,即插即用 免驱动
SYN-OS-243,防水登山包 焦糖棕款,98.90,户外运动,USD,ebay,148,10,一秒收纳 说走就走
SYN-PT-244,狗狗牵引绳 海军蓝款,45.99,宠物用品,EUR,aliexpress,8,10,环保材质 啃咬无忧
SYN-BT-245,恒温足浴盆 深空黑款,8.99,美妆个护,CNY,tiktok,188,10,小巧便携 旅行装
SYN-AP-246,帆布托特包 珍珠白款,69.99,服饰配件,USD,shopee,139,10,轻盈不压身
SYN-KB-247,婴儿背带 薄荷绿款 2,61.90,母婴玩具,EUR,aliexpress,4,10,适龄设计 助力成长
SYN-CA-248,后备箱收纳箱,60.90,汽车配件,USD,ebay,373,20,专车专用 贴合原车
SYN-OF-249,护眼台灯,19.90,办公文具,EUR,tiktok,7,10,静音设计 不扰同事
SYN-TL-250,螺丝分类收纳盒 奶油白款 2,37.50,工具五金,GBP,ebay,0,5,防滑手柄 安全省力
SYN-HM-251,便携咖啡机 原木色款 2,44.90,家居厨房,USD,ebay,109,10,食品级材质 安心使用
